Wavelength (μm), Reflectance
8.724724724724725045e-01,1.367867611929475258e-01
8.744744744744745724e-01,1.367452215761415235e-01
8.764764764764765292e-01,1.366823463079809842e-01
8.784784784784784861e-01,1.366139797536275735e-01
8.804804804804804430e-01,1.365629015094659837e-01
8.824824824824825109e-01,1.365334786883644624e-01
8.844844844844845788e-01,1.365353950022350216e-01
8.864864864864865357e-01,1.365617372024838794e-01
8.884884884884884926e-01,1.366472888618546766e-01
8.904904904904904495e-01,1.367813761932797079e-01
8.924924924924925174e-01,1.369691052735073078e-01
8.944944944944945853e-01,1.371852841917064469e-01
8.964964964964965422e-01,1.374126365873497568e-01
8.984984984984984990e-01,1.376451931220973313e-01
9.005005005005005669e-01,1.378487062364228966e-01
9.025025025025025238e-01,1.380238283255552090e-01
9.045045045045044807e-01,1.381710575131907814e-01
9.065065065065065486e-01,1.382893007683137776e-01
9.085085085085085055e-01,1.383958335136794005e-01
9.105105105105105734e-01,1.384974840796558970e-01
9.125125125125125303e-01,1.385740191852496972e-01
9.145145145145144872e-01,1.386308109985160963e-01
9.165165165165165551e-01,1.386701599809073981e-01
9.185185185185185119e-01,1.387217172448081404e-01
9.205205205205205798e-01,1.387691653286850513e-01
9.225225225225225367e-01,1.388041237705506525e-01
9.245245245245244936e-01,1.388288596092038529e-01
9.265265265265265615e-01,1.388593057003912890e-01
9.285285285285285184e-01,1.388447332051265248e-01
9.305305305305305863e-01,1.387877735662602641e-01
9.325325325325325432e-01,1.387024969719727052e-01
9.345345345345345001e-01,1.385987514473444870e-01
9.365365365365365680e-01,1.384722504040871438e-01
9.385385385385385248e-01,1.383108913240704285e-01
9.405405405405405928e-01,1.381544215832164191e-01
9.425425425425425496e-01,1.379949019657046860e-01
9.445445445445445065e-01,1.378350231367227452e-01
9.465465465465465744e-01,1.376839582014237617e-01
9.485485485485485313e-01,1.375256510533077181e-01
9.505505505505505992e-01,1.373697402866825290e-01
9.525525525525525561e-01,1.372516673740576953e-01
9.545545545545546240e-01,1.371555475558671466e-01
9.565565565565565809e-01,1.370803780167164920e-01
9.585585585585585378e-01,1.369870303017187707e-01
9.605605605605606057e-01,1.369455356930319168e-01
9.625625625625625625e-01,1.368809554303906661e-01
9.645645645645646304e-01,1.368327449482145963e-01
9.665665665665665873e-01,1.367458056843529057e-01
9.685685685685685442e-01,1.366274091130279256e-01
9.705705705705706121e-01,1.364712994234947574e-01
9.725725725725725690e-01,1.363015633979629271e-01
9.745745745745746369e-01,1.361811105336714900e-01
9.765765765765765938e-01,1.360573590013366418e-01
9.785785785785785507e-01,1.359462099990196016e-01
9.805805805805806186e-01,1.358374738490419342e-01
9.825825825825825754e-01,1.357082794099391532e-01
9.845845845845846434e-01,1.356086347293786465e-01
