wavelength (micron), reflectivity
4.430000000000000049e-01,5.638486999999999666e-02
4.440000000000000058e-01,5.722128900000000157e-02
4.450000000000000067e-01,5.827937300000000237e-02
4.460000000000000075e-01,5.908864700000000109e-02
4.470000000000000084e-01,6.001685200000000248e-02
4.480000000000000093e-01,6.094834100000000310e-02
4.490000000000000102e-01,6.171419100000000157e-02
4.500000000000000111e-01,6.246568499999999996e-02
4.510000000000000120e-01,6.326578300000000599e-02
4.520000000000000129e-01,6.410394699999999446e-02
4.530000000000000138e-01,6.490810199999999530e-02
4.540000000000000147e-01,6.554601100000000125e-02
4.550000000000000155e-01,6.618899300000000152e-02
4.560000000000000164e-01,6.689425599999999916e-02
4.570000000000000173e-01,6.741650000000000420e-02
4.580000000000000182e-01,6.793967500000000492e-02
4.590000000000000191e-01,6.844054700000000435e-02
4.600000000000000200e-01,6.887656600000000018e-02
4.610000000000000209e-01,6.944148299999999829e-02
4.620000000000000218e-01,7.003146700000000002e-02
4.630000000000000226e-01,7.057129800000000452e-02
4.640000000000000235e-01,7.103439500000000018e-02
4.650000000000000244e-01,7.154573000000000182e-02
4.660000000000000253e-01,7.202464799999999667e-02
4.670000000000000262e-01,7.244827399999999307e-02
4.680000000000000271e-01,7.301592199999999699e-02
4.689999999999999725e-01,7.365331199999999856e-02
4.699999999999999734e-01,7.422622700000000573e-02
4.709999999999999742e-01,7.463931099999999985e-02
4.719999999999999751e-01,7.520290899999999834e-02
4.729999999999999760e-01,7.576855899999999922e-02
4.739999999999999769e-01,7.630199099999999957e-02
4.749999999999999778e-01,7.692572300000000141e-02
4.759999999999999787e-01,7.747906300000000079e-02
4.769999999999999796e-01,7.805369400000000679e-02
4.779999999999999805e-01,7.869624899999999590e-02
4.789999999999999813e-01,7.914531599999999334e-02
4.799999999999999822e-01,7.973169099999999343e-02
4.809999999999999831e-01,8.046046699999999385e-02
4.819999999999999840e-01,8.116128300000000073e-02
4.829999999999999849e-01,8.175592600000000654e-02
4.839999999999999858e-01,8.235433500000000073e-02
4.849999999999999867e-01,8.300624700000000522e-02
4.859999999999999876e-01,8.365428699999999385e-02
4.869999999999999885e-01,8.431138900000000047e-02
4.879999999999999893e-01,8.502972200000000202e-02
4.889999999999999902e-01,8.582229500000000677e-02
4.899999999999999911e-01,8.651761800000000446e-02
4.909999999999999920e-01,8.732629399999999875e-02
4.919999999999999929e-01,8.826015900000000469e-02
4.929999999999999938e-01,8.920079999999999676e-02
4.939999999999999947e-01,9.019046899999999534e-02
4.949999999999999956e-01,9.124074799999999652e-02
4.959999999999999964e-01,9.235166000000000208e-02
4.969999999999999973e-01,9.350595899999999960e-02
4.979999999999999982e-01,9.481067999999999441e-02
4.989999999999999991e-01,9.613316299999999370e-02
5.000000000000000000e-01,9.735022499999999857e-02
5.010000000000000009e-01,9.873990700000000176e-02
5.020000000000000018e-01,1.002128270000000043e-01
5.030000000000000027e-01,1.017249459999999966e-01
5.040000000000000036e-01,1.032871260000000069e-01
5.050000000000000044e-01,1.049783170000000015e-01
5.060000000000000053e-01,1.066338919999999940e-01
5.070000000000000062e-01,1.082172879999999948e-01
5.080000000000000071e-01,1.100674539999999951e-01
5.090000000000000080e-01,1.119033849999999941e-01
5.100000000000000089e-01,1.137702079999999977e-01
